"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2015-05-29",,"88","56","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-30",,"84","58","66",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-31",,"85","66","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-01",,"87","55","55",,,"    1",,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-02",,"58","49","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-03",,"56","49","53",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-04",,"73","53","55",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-05",,"70","55","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-06",,"68","54","62",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-07",,"76","46","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-08",,"77","49","62",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-09",,"84","60","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-10",,"82","58","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-11",,"84","64","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-12",,"89","68","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-13",,"90","69","77",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-14",,"85","60","71",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-15",,"89","67","68","    1",,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-16",,"85","64","66",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-17",,"80","63","65",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-18",,"82","63","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-19",,"69","64","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-20",,"86","66","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-21",,"70","63","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-22",,"88","68","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-23",,"89","67","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-24",,"88","64","65",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-25",,"83","56","62",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-26",,"84","61","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-27",,"80","64","65",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-28",,"68","56","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-29",,"72","59","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-06-30",,"75","59","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-01",,"81","64","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-02",,"83","61","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-03",,"82","59","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-04",,"83","65","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-05",,"76","61","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-06",,"89","62","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-07",,"86","69","73",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-08",,"90","71","75",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-09",,"88","70","71",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-10",,"82","66","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-11",,"84","61","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-12",,"87","62","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-13",,"87","65","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-14",,"89","63","66",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-15",,"82","66","74","    1",,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-16",,"84","61","62",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-17",,"81","56","61",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-18",,"81","59","71",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-19",,"84","69","77",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-20",,"94","62","76",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-21",,"93","73","77",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-22",,"90","66","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-23",,"84","57","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-24",,"84","59","61",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-25",,"85","59","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-26",,"87","63","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-27",,"89","69","71",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-28",,"88","67","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-29",,"92","67","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-30",,"95","68","78",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-07-31",,"89","68","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-01",,"89","64","65",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-02",,"89","62","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-03",,"89","62","63",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-04",,"88","62","72",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-05",,"89","62","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-06",,"88","58","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-07",,"82","59","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-08",,"82","57","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-09",,"81","61","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-10",,"86","58","63",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-11",,"83","63","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-12",,"81","62","65",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-13",,"84","61","61",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-14",,"82","56","57",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-15",,"87","56","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-16",,"91","68","73",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-17",,"92","68","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-18",,"95","68","73",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-19",,"93","70","71",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-20",,"87","70","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-21",,"88","70","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-22",,"86","62","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-23",,"83","59","60",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-24",,"86","59","66",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-25",,"85","65","74",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-26",,"89","62","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-27",,"82","63","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-28",,"73","57","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-29",,"77","53","60",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-30",,"84","59","63",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-08-31",,"89","61","73",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-01",,"89","64","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-02",,"90","63","63",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-09-03",,"91","62","70",,,,,,,,,
